"entity_id";"type";"store";"attribute_set";"msrp";"name";"price";"sku";"url_path";"weight";"brand";"brand_value";"qty";"is_in_stock"
"130";"simple";"default";"default";"49.9500";"Monster FM transmitter w/3 Preset channels for iPod and iPhone";"36.0000";"AI 300 FM-CH";"ai300fmch.html";"1.0000";"9";"Monster";"1000.0000";"1"
"131";"simple";"default";"default";"79.9500";"Monster iCarPlay Wireless 500 FM Trans for IPod Trans/Chrgr with 8 presets";"49.0000";"AI 500 FM-CH 129345";"ai500fmch129345.html";"1.0000";"9";"Monster";"1000.0000";"1"
"132";"simple";"default";"default";"39.9500";"Monster iCarCharger 600 for iPod/iPhone/iPad, Ultra Low Prfile CLAs, 10W power";"21.0000";"AI 600 CCHGR-1";"ai600cchgr1.html";"0.9000";"9";"Monster";"1000.0000";"1"
"133";"simple";"default";"default";"24.9500";"Monster iCharger with Dual Chargers build in one device, USB port";"19.0000";"AI 800 CCHGR";"ai800cchgr.html";"0.9000";"9";"Monster";"1000.0000";"1"
"134";"simple";"default";"default";"24.9500";"Monster iCable 800 for iPod and iPhone 1/8'' Mini to 1/8'' Mini-7ft";"14.0000";"AI 800 MINI-7 129339";"ai800mini7129339.html";"0.9000";"9";"Monster";"1000.0000";"1"
"135";"simple";"default";"default";"119.9500";"Monster iClarityHD Presicion Micro Bluetooth Speaker 100";"70.0000";"AI CLY MBT 100";"aiclymbt100.html";"6.3700";"9";"Monster";"1000.0000";"1"
"136";"simple";"default";"default";"119.9500";"Monster ClarityHD Presicion Micro Bluetooth Speaker 100";"70.0000";"MBL CLY MBT 100";"mblclymbt100.html";"6.3700";"9";"Monster";"1000.0000";"1"
"138";"simple";"default";"default";"69.9900";"Coby Sound System for iPod/iPhone, Built in Dock, Bass Boost, Remote";"47.0000";"CSMP145";"csmp145.html";"8.0000";"14";"Coby";"1000.0000";"1"
"140";"simple";"default";"default";"19.9900";"Coby World Band AM/FM/Short- Wave Radio w/Digital Dis play,Clock & Radio Fnct";"11.0000";"CX39";"cx39.html";"1.4400";"14";"Coby";"1000.0000";"1"
"141";"simple";"default";"default";"14.9900";"Coby Personal AM/FM Stereo Cassette Recorder";"9.0000";"CX49";"cx49.html";"0.6200";"14";"Coby";"1000.0000";"1"
"142";"simple";"default";"default";"9.9900";"Coby Mini AM/FM Pocket Radio with Neck Strap, 3.5mm Headphone Jack";"8.0000";"CX73BLK";"cx73blk.html";"0.2700";"14";"Coby";"1000.0000";"1"
"143";"simple";"default";"default";"9.9900";"Coby Mini AM/FM Pocket Radio with Neck Strap, 3.5mm Headphone Jack";"8.0000";"CX73BLU";"cx73blu.html";"0.2700";"14";"Coby";"1000.0000";"1"
"144";"simple";"default";"default";"9.9900";"Coby Mini AM/FM Pocket Radio with Neck Strap, 3.5mm Headphone Jack";"8.0000";"CX73RED";"cx73red.html";"0.2700";"14";"Coby";"1000.0000";"1"
"145";"simple";"default";"default";"9.9900";"Coby Mini AM/FM Pocket Radio with Neck Strap, 3.5mm Headphone Jack";"8.0000";"CX73SVR";"cx73svr.html";"0.2700";"14";"Coby";"1000.0000";"1"
