"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name"
"admin";"base";"Default";"simple";"Appliances";"KPP-24";"0";"Nostalgia Electrics KPP-24 24-Count Popcorn, Oil & Seasoning Kit"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"KPP-24";"0";"Nostalgia Electrics KPP-24 24-Count Popcorn, Oil & Seasoning Kit"
"admin";"base";"Default";"simple";"Appliances";"KRS-2100";"0";"Nostalgia Electrics KRS-2100 Kegorator Beer Keg Fridge, Black"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"KRS-2100";"0";"Nostalgia Electrics KRS-2100 Kegorator Beer Keg Fridge, Black"
"admin";"base";"Default";"simple";"Appliances";"KRS-2150";"0";"Nostalgia Electrics KRS-2150 Kegorator Beer Keg Fridge, Stainless Steel"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"KRS-2150";"0";"Nostalgia Electrics KRS-2150 Kegorator Beer Keg Fridge, Stainless Steel"
"admin";"base";"Default";"simple";"Appliances";"KRS-6100SS";"0";"Nostalgia Electrics KRS-6100SS Double Kegorator Twin Tap Beer Keg Fridge, Stainless Steel"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"KRS-6100SS";"0";"Nostalgia Electrics KRS-6100SS Double Kegorator Twin Tap Beer Keg Fridge, Stainless Steel"
"admin";"base";"Default";"simple";"Appliances";"LPF-210";"0";"Nostalgia Electrics LPF-210 Vintage Collection Lighted Party Fountain Beverage Set"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"LPF-210";"0";"Nostalgia Electrics LPF-210 Vintage Collection Lighted Party Fountain Beverage Set"
"admin";"base";"Default";"simple";"Appliances";"MDF-200";"0";"Nostalgia Electrics MDF-200 Automatic Mini Donut Factory"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"MDF-200";"0";"Nostalgia Electrics MDF-200 Automatic Mini Donut Factory"
"admin";"base";"Default";"simple";"Appliances";"MSB-64";"0";"Nostalgia Electrics MSB-64 64-Ounce Margarita & Slush Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"MSB-64";"0";"Nostalgia Electrics MSB-64 64-Ounce Margarita & Slush Maker"
"admin";"base";"Default";"simple";"Appliances";"NGD-200";"0";"Nostalgia Electrics NGD-200 Non-stick Griddle with Warming Drawer"
