"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name";"url_key";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"meta_title";"meta_description";"image";"small_image";"thumbnail";"custom_design";"page_layout";"options_container";"gift_message_available";"image_label";"small_image_label";"thumbnail_label";"url_path";"status";"visibility";"brand";"tax_class_id";"is_recurring";"weight";"price";"special_price";"msrp";"description";"short_description";"specification";"meta_keyword";"custom_layout_update";"news_from_date";"news_to_date";"special_from_date";"special_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites"
"admin";"base";"Default";"simple";"";"DDW611WLED";"0";"Danby Countertop Dishwasher, 6 Place Setting, See Through Door, SS Interior";"DDW611WLED";"";"Use config";"Use config";"";"";"/d/d/ddw611wled.jpg";"/s/m/sm_ddw611wled.jpg";"/t/h/th_ddw611wled.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"ddw611wled.html";"Enabled";"Catalog, Search";"Danby";"None";"No";"54.0000";"249.9900";"";"";"Danby's DDW611WLED Countertop Electronic Dishwasher, in White, is Energy Star rated to help save money and conserve energy. With room up to 6 standard place settings this model is perfect for families. The quick connect system lets you hook it up to any kitchen tap and the 6 wash cycles will get dishes sparkling.";"Danby's DDW611WLED Countertop Electronic Dishwasher, in White, is Energy Star rated to help save money and conserve energy. With room up to 6 standard place settings this model is perfect for families. The quick connect system lets you hook it up to any kitchen tap and the 6 wash cycles will get dishes sparkling.<BR><BR><UL><LI>6 place setting counter-top dishwasher<LI>6 wash cycles: normal, heavy, light, speed, soak, glass<LI>Low water consumption - 3.17 gallons (12 litres) during normal cycle<LI>Electronic controls with LED display<LI>Fits under most kitchen cabinets<LI>Convenient automatic detergent and rinse agent dispenser<LI>Quick connect to any kitchen tap<LI>Durable stainless steel interior<LI>Energy Star rated</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Danby Countertop Dishwasher, 6 Place Setting, See Through Door, SS Interior";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"1001";"0";"Waste King 1/2 HP,Removable Splash Guard, Corrosion Resist. 2600 RPM,2 Yr Warranty";"1001";"";"Use config";"Use config";"";"";"/1/0/1001.jpg";"/s/m/sm_1001.jpg";"/t/h/th_1001.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"1001.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"9.0000";"74.9900";"";"";"The Waste King 1001 Legend Series 1/2-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 2600 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe for properly sized septic tanks, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 1001 Legend Series 1/2-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 2600 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe for properly sized septic tanks, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>1/2-HP motor horsepower; EZ-Moount installation<LI>2600 R.P.M. motor speed<LI>115V voltage; 60Hz; 4.5 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Heavy gauge galvanized steel grind ring, stainless steel swivel impellers, and galvanized turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 1/2 HP,Removable Splash Guard, Corrosion Resist. 2600 RPM,2 Yr Warranty";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"111";"0";"Waste King 1/3 HP,Removable Splash Guard, Corrosion Resist. 1900 RPM,2 Yr Warranty";"111";"";"Use config";"Use config";"";"";"/1/1/111.jpg";"/s/m/sm_111.jpg";"/t/h/th_111.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"111.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"8.5000";"64.9900";"";"";"The Waste King 111 Legend Series 1/3-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 1900 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe for properly sized septic tanks, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 111 Legend Series 1/3-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 1900 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe for properly sized septic tanks, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>1/3-HP motor horsepower; EZ-Mount installation<LI>1900 R.P.M. motor speed<LI>115V voltage; 60Hz; 4.0 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Heavy gauge galvanized steel grind ring, stainless steel swivel impellers, and galvanized steel turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 1/3 HP,Removable Splash Guard, Corrosion Resist. 1900 RPM,2 Yr Warranty";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"2600";"0";"Waste King 1/2 HP, Removable Splash Guard,Corrosion Resist,2600 RPM,5 Yr Warranty";"2600";"";"Use config";"Use config";"";"";"/2/6/2600.jpg";"/s/m/sm_2600.jpg";"/t/h/th_2600.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"2600.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"9.6000";"99.9900";"";"";"The Waste King 2600 Legend Series 1/2-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 2600 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 2600 Legend Series 1/2-HP EZ-Mount Garbage Disposer is one of the best food waste disposers in the market. With a high-speed 2600 RPM Vortex Powered permanent magnet motor, this disposer can get rid of all your gourmet waste. This disposer is also septic safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>1/2-HP motor horsepower; EZ-Mount installation<LI>2600 R.P.M. motor speed<LI>115V voltage; 60Hz; 4.5 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Stainless steel grind ring, swivel impellers, and turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 1/2 HP, Removable Splash Guard,Corrosion Resist,2600 RPM,5 Yr Warranty";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"3200";"0";"Waste King 3/4 HP, 8 Year In-Home Warranty";"3200";"";"Use config";"Use config";"";"";"/3/2/3200.jpg";"/s/m/sm_3200.jpg";"/t/h/th_3200.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"3200.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"14.7000";"139.9900";"";"";"The Waste King 3200 Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 3200 Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>3/4-HP motor horsepower; EZ-Mount installation<LI>2700 R.P.M. motor speed<LI>115V voltage; 60Hz; 4.5 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Stainless steel grind ring, swivel impellers, and turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 3/4 HP, 8 Year In-Home Warranty";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"3300";"0";"Waste King 3/4 HP,Heavy Duty,Insul. 2700 RPM, Corros.Resist. 10 Yr Warr,Cord Incl.";"3300";"";"Use config";"Use config";"";"";"/3/3/3300.jpg";"/s/m/sm_3300.jpg";"/t/h/th_3300.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"3300.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"12.5000";"166.9900";"";"";"The Waste King 3300 Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 3300 Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>3/4-HP motor horsepower; EZ-Mount installation<LI>2700 R.P.M. motor speed<LI>115V voltage; 60Hz; 6.0 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Stainless steel grind ring, cast stainless steel swivel impellers and stainless steel turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 3/4 HP,Heavy Duty,Insul. 2700 RPM, Corros.Resist. 10 Yr Warr,Cord Incl.";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"5000TC";"0";"Waste King 3/4 HP,Heavy Duty,Insul. 2700 RPM, Corros.Resist. 10 Yr Warr,Cord Incl.";"5000TC";"";"Use config";"Use config";"";"";"/5/0/5000tc.jpg";"/s/m/sm_5000tc.jpg";"/t/h/th_5000tc.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"5000tc.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"14.0000";"229.9900";"";"";"The Waste King 5000TC Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 5000TC Legend Series 3/4-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2700 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>3/4-HP motor horsepower; EZ-Mount installation<LI>2700 R.P.M. motor speed<LI>115V voltage; 60Hz; 6.0 current-amps<LI>Permanent magnet motor type; Power cord included<LI>Stainless steel and Celcon sink flange<LI>3 position stopper; ABS waste elbow<LI>Stainless steel grind ring, cast stainless steel swivel impellers and stainless steel turntable<LI>Glass filled nylon hopper; Batch loading feed type<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 3/4 HP,Heavy Duty,Insul. 2700 RPM, Corros.Resist. 10 Yr Warr,Cord Incl.";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"8000";"0";"Waste King 1 HP,Heavy Duty,Insul. 2600 RPM, Corros.Resist. Lifetime Warr,Cord Incl.";"8000";"";"Use config";"Use config";"";"";"/8/0/8000.jpg";"/s/m/sm_8000.jpg";"/t/h/th_8000.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"8000.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"14.7000";"209.9900";"";"";"The Waste King 8000 Legend Series 1.0-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2800 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 8000 Legend Series 1.0-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2800 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>1.0-HP motor horsepower; EZ-Mount installation<LI>2800 R.P.M. motor speed<LI>115V voltage; 60Hz; 7.0 current-amps<LI>Permanent magnet motor type; Power cord attached<LI>Stainless steel and Celcon sink flange<LI>Positive seal stopper; Removable splash guard; ABS waste elbow<LI>Stainless steel grind ring, cast stainless steel swivel impellers, and stainless steel turntable<LI>Glass filled nylon hopper; Continuous feed<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"<TABLE><TBODY><TR><TD class=addInfHd colSpan=2>General Information</TD></TR><TR><TD class=addInfLb>Manufacturer</TD><TD class=addInfTxt>Anaheim Manufacturing, Inc</TD></TR><TR><TD class=addInfLb>Manufacturer Part Number</TD><TD class=addInfTxt>8000</TD></TR><TR><TD class=addInfLb>Manufacturer Website Address</TD><TD class=addInfTxt>www.anaheimmfg.com</TD></TR><TR><TD class=addInfLb>Brand Name</TD><TD class=addInfTxt>Waste King</TD></TR><TR><TD class=addInfLb>Product Line</TD><TD class=addInfTxt>Legend</TD></TR><TR><TD class=addInfLb>Product Model</TD><TD class=addInfTxt>8000</TD></TR><TR><TD class=addInfLb>Product Name</TD><TD class=addInfTxt>Legend 8000 Feed Disposer</TD></TR><TR><TD class=addInfLb>Product Type</TD><TD class=addInfTxt>Feed Disposer</TD></TR><TR><TD class=addInfHd colSpan=2>Technical Information</TD></TR><TR><TD class=addInfLb>Motor Power</TD><TD class=addInfTxt>745.70 W</TD></TR><TR><TD class=addInfLb>Grinding Speed</TD><TD class=addInfTxt>2800 rpm</TD></TR><TR><TD class=addInfLb>Feed Method</TD><TD class=addInfTxt>Continuous</TD></TR><TR><TD class=addInfHd colSpan=2>Power Description</TD></TR><TR><TD class=addInfLb>Input Voltage</TD><TD class=addInfTxt>110 V AC</TD></TR><TR><TD class=addInfHd colSpan=2>Physical Characteristics</TD></TR><TR><TD class=addInfLb>Material</TD><TD class=addInfTxt>Stainless Steel</TD></TR><TR><TD class=addInfHd colSpan=2>Miscellaneous</TD></TR><TR><TD class=addInfLb>Package Contents</TD><TD class=addInfTxt><LI>Legend 8000 Feed Disposer <LI>Removable Splash Guard <LI>Power Cord</LI></TD></TR><TR><TD class=addInfHd colSpan=2>Warranty</TD></TR><TR><TD class=addInfLb>Standard Warranty</TD><TD class=addInfTxt>Lifetime Limited</TD></TR><TR><TD class=addInfHd colSpan=2>Item Details</TD></TR><TR><TD class=addInfLb align=left>Part Number</TD><TD class=addInfTxt>8000</TD></TR><TR><TD class=addInfLb align=left>Manufacturer</TD><TD class=addInfTxt>Waste King</TD></TR><TR><TD class=addInfLb align=left>Category</TD><TD class=addInfTxt>Disposal Units</TD></TR><TR><TD class=addInfLb align=left>Mfr ID</TD><TD class=addInfTxt>WASKIN</TD></TR><TR><TD class=addInfLb align=left>UPS Shippable</TD><TD class=addInfTxt>Y</TD></TR><TR><TD class=addInfLb align=left>Shipping Weight</TD><TD class=addInfTxt>14.7</TD></TR><TR><TD class=addInfLb align=left>UPC Code</TD><TD class=addInfTxt>029122780003</TD></TR></TBODY></TABLE><BR>";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 1 HP,Heavy Duty,Insul. 2600 RPM, Corros.Resist. Lifetime Warr,Cord Incl.";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"8000TC";"0";"Waste King 1 HP, 2800 RPM, 10 Yr Warranty";"8000TC";"";"Use config";"Use config";"";"";"/8/0/8000tc.jpg";"/s/m/sm_8000tc.jpg";"/t/h/th_8000tc.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"8000tc.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"16.1000";"269.9900";"";"";"The Waste King 8000TC Legend Series 1.0-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2800 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.";"The Waste King 8000TC Legend Series 1.0-HP EZ-Mount Garbage Disposer is one if the best disposers on the market today. With a high-speed 2800 R.P.M. permanent magnet motor, this disposer can efficiently get rid of all your gourmet food waste. This legend disposer is also Septic Safe, making it environmentally friendly. It also features dishwasher hookup.<BR><BR><UL><LI>1.0-HP motor horsepower; EZ-Mount installation<LI>2800 R.P.M. motor speed; No wall switch needed<LI>115V voltage; 60Hz; 7.0 current-amps<LI>Permanent magnet motor type; Power cord attached<LI>Stainless steel and Celcon sink flange<LI>3 position stopper; ABS waste elbow<LI>Stainless steel grind ring, cast stainless steel swivel impellers and stainless steel turntable<LI>Glass filled nylon hopper; Batch loading feed type<LI>Corrosion proof glass filled polyester grinding chamber<LI>Manual reset type overload protector</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 1 HP, 2800 RPM, 10 Yr Warranty";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"9900-TC";"0";"Waste King 3/4 HP- Batch Feed 10 Year In-Home Warranty";"9900-TC";"";"Use config";"Use config";"";"";"/9/9/9900tc.jpg";"/s/m/sm_9900tc.jpg";"/t/h/th_9900tc.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"9900tc.html";"Enabled";"Catalog, Search";"Waste King";"None";"No";"16.1000";"249.9900";"";"";"";"";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Waste King 3/4 HP- Batch Feed 10 Year In-Home Warranty";"0";"simple";"";""
